New_Q61,country,n,party_name,politico_poll
131,Slovakia,222,"OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO), NOVA, Kresťanská únia (KÚ), ZMENA ZDOLA: OĽANO-NOVA-KÚ-ZMENA Z",2
132,Slovakia,263,"Smer – sociálna demokracia, SMER–SD",17
133,Slovakia,23,Sme rodina,7
134,Slovakia,115,"Ľudová strana naše Slovensko, ĽSNS",4
135,Slovakia,80,Progresívne Slovensko SPOLU – občianska demokracia,13
136,Slovakia,26,"Sloboda a solidarita, SaS",6
138,Slovakia,29,"Kresťanskodemokratické hnutie, KDH",6
139,Croatia,286,"Hrvatska demokratska zajednica, HDZ",31
140,Croatia,55,Restart koalicija,NA
141,Croatia,142,"Domovinski pokret Miroslava Škore, DPMŠ",8
142,Croatia,42,Most,11
143,Croatia,113,Zeleno–lijeva koalicija,NA
147,Bulgaria,36,Български възход,3
160,Denmark,101,Moderaterne,8
162,Denmark,465,Danmarksdemokraterne,9
163,Finland,85,Piraattipuolue,NA
164,France,379,Rassemblement National,24
165,France,129,Reconquête!,5
176,Poland,41,Polska 2050,28
177,Poland,32,Polskie Stronnictwo Ludowe,NA
181,Spain,3,Partit dels Socialistes de Catalunya,NA
182,Spain,9,Esquerra Republicana de Catalunya,3
183,Spain,5,Partido Popular Catalán,NA
185,Spain,1,Iniciativa per Catalunya Verds,NA
188,Spain,4,Junts pel Sí,NA
194,Lithuania,42,Demokratų sąjunga 'Vardan Lietuvos'; DSVL,13
198,Slovakia,39,Republika,NA
199,Romania,98,Uniunea Salvați România (USR),9
200,Hungary,185,Demokratikus Koalíció (DK),14
201,Hungary,57,Jobbik Magyarországért Mozgalom (Jobbik),2
202,Hungary,33,Lehet Más a Politika (LMP),2
203,Hungary,39,Momentum Mozgalom (Momentum),7
204,Hungary,43,Magyar Kétfarkú Kutyapárt (MKKP),8
205,Hungary,60,Magyar Szocialista Párt (MSZP),1
206,Hungary,6,Párbeszéd,1
